Country Name,Country Code,Series Name,Most Recent Value [YR20111],Lat,Lon
Albania,ALB,"Wage and salaried workers, total (% of total employed)",40.2000007629,41,20
Andorra,ADO,"Wage and salaried workers, total (% of total employed)",..,42.5,1.5167
Armenia,ARM,"Wage and salaried workers, total (% of total employed)",55.5999984741,40.1833,44.5167
Austria,AUT,"Wage and salaried workers, total (% of total employed)",86.6999969482,48.2,16.35
Azerbaijan,AZE,"Wage and salaried workers, total (% of total employed)",33.5,40.3,46.7
Belarus,BLR,"Wage and salaried workers, total (% of total employed)",94.1999969482,53.9167,27.55
Belgium,BEL,"Wage and salaried workers, total (% of total employed)",84.9000015259,50.85,4.35
Bosnia and Herzegovina,BIH,"Wage and salaried workers, total (% of total employed)",74.5999984741,44,18
Bulgaria,BGR,"Wage and salaried workers, total (% of total employed)",87.9000015259,42.75,25.5
Croatia,HRV,"Wage and salaried workers, total (% of total employed)",81.9000015259,45.8,16
Cyprus,CYP,"Wage and salaried workers, total (% of total employed)",82.4000015259,35,33
Czech Republic,CZE,"Wage and salaried workers, total (% of total employed)",82.0999984741,49.75,15.75
Denmark,DNK,"Wage and salaried workers, total (% of total employed)",91,55.72,12.57
Estonia,EST,"Wage and salaried workers, total (% of total employed)",90.9000015259,59,26
Finland,FIN,"Wage and salaried workers, total (% of total employed)",86.5999984741,64,26
France,FRA,"Wage and salaried workers, total (% of total employed)",88.8000030518,47,2
Germany,DEU,"Wage and salaried workers, total (% of total employed)",88.8000030518,52.5167,13.3833
Greece,GRC,"Wage and salaried workers, total (% of total employed)",63,39,22
Georgia,GEO,"Wage and salaried workers, total (% of total employed)",38.4000015259,32.9605,83.1132
Hungary,HUN,"Wage and salaried workers, total (% of total employed)",88.9000015259,47.4333,19.25
Ireland,IRL,"Wage and salaried workers, total (% of total employed)",82.6999969482,53.3442,6.2675
Iceland,ISL,"Wage and salaried workers, total (% of total employed)",86.9000015259,65,18
Italy,ITA,"Wage and salaried workers, total (% of total employed)",75.3000030518,41.9,12.4833
Kazakhstan,KAZ,"Wage and salaried workers, total (% of total employed)",69.4000015259,48,68
Kosovo,KSV,"Wage and salaried workers, total (% of total employed)",74.5,42.6,20.85
Latvia,LVA,"Wage and salaried workers, total (% of total employed)",88.4000015259,57,25
Luxembourg,LUX,"Wage and salaried workers, total (% of total employed)",90.9000015259,49.6,6.1167
Lithuania,LTU,"Wage and salaried workers, total (% of total employed)",88.1999969482,55,24
"Macedonia, FYR",MKD,"Wage and salaried workers, total (% of total employed)",71.9000015259,41.6,21.7
Malta,MLT,"Wage and salaried workers, total (% of total employed)",86.0999984741,35.8833,14.5
Moldova,MDA,"Wage and salaried workers, total (% of total employed)",68.8000030518,47,28.9167
Montenegro,MNE,"Wage and salaried workers, total (% of total employed)",82.4000015259,42.7833,19.4667
Netherlands,NLD,"Wage and salaried workers, total (% of total employed)",83.9000015259,52.3167,5.55
Norway,NOR,"Wage and salaried workers, total (% of total employed)",93,61,8
Poland,POL,"Wage and salaried workers, total (% of total employed)",78.1999969482,52.2167,21.0333
Portugal,PRT,"Wage and salaried workers, total (% of total employed)",78.0999984741,38.7,9.1833
Romania,ROM,"Wage and salaried workers, total (% of total employed)",67.8000030518,44.4167,26.1
Russia,RUS,"Wage and salaried workers, total (% of total employed)",92.6999969482,60,90
San Marino,SMR,"Wage and salaried workers, total (% of total employed)",90.8000030518,43.9333,12.4667
Slovakia,SVK,"Wage and salaried workers, total (% of total employed)",84.5,48.15,17.116
Slovenia,SVN,"Wage and salaried workers, total (% of total employed)",83.0999984741,46.05,14.5
Spain,ESP,"Wage and salaried workers, total (% of total employed)",82.0999984741,40.4333,3.7
Sweden,SWE,"Wage and salaried workers, total (% of total employed)",89.4000015259,59.35,18.0667
Switzerland,CHE,"Wage and salaried workers, total (% of total employed)",84.6999969482,46.8333,8.3333
Serbia,SRB,"Wage and salaried workers, total (% of total employed)",67.5999984741,44.8,20.4667
Turkey,TUR,"Wage and salaried workers, total (% of total employed)",64.0999984741,39.9167,32.8333
United Kingdom,GBR,"Wage and salaried workers, total (% of total employed)",85,51.5,0.1167
Ukraine,UKR,"Wage and salaried workers, total (% of total employed)",80.9000015259,49,32
